Quarter,OffTeam,Down,Distance,OffenseFormation,DefendersInTheBox,Week,StadiumType,Turf,GameWeather,Temperature,Humidity,WindSpeed,Type,DefTeam,Time Left in Quarter,Distance for TD,ScoreDifference,PosTeamHome,NumQB,NumRB,NumWR,NumTE,NumOL,NumDL,NumLB,NumDB,NumDOther
1,ATL,2,5,I_FORM,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,14.366666666666667,70,0.0,0,1,2,2,1,5,4,2,5,0
1,ATL,1,10,SINGLEBACK,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,13.766666666666667,59,0.0,0,1,1,3,1,5,4,2,5,0
1,ATL,1,6,SINGLEBACK,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,12.25,6,0.0,0,1,1,3,1,5,4,2,5,0
1,ATL,2,1,JUMBO,10.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,11.683333333333334,1,0.0,0,1,2,0,3,5,6,3,2,0
1,ATL,4,1,JUMBO,11.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,10.916666666666666,1,0.0,0,1,2,0,3,5,6,3,2,0
1,PHI,1,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,10.85,98,0.0,1,1,1,3,1,5,3,3,5,0
1,ATL,2,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,9.033333333333333,44,0.0,0,1,1,1,3,5,4,3,4,0
1,ATL,1,10,SINGLEBACK,8.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,7.633333333333333,33,0.0,0,1,1,2,2,5,4,2,5,0
1,PHI,1,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,4.833333333333333,69,-3.0,1,1,1,3,1,5,3,3,5,0
1,PHI,2,17,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,2.4,64,-3.0,1,1,1,3,1,5,3,3,5,0
1,ATL,2,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,PHI,0.43333333333333335,80,3.0,0,1,2,3,0,5,4,2,5,0
2,PHI,2,9,SHOTGUN,6.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,13.616666666666667,59,-3.0,1,1,1,3,1,5,4,2,5,0
2,PHI,1,10,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,11.316666666666666,31,-3.0,1,1,1,3,1,5,3,3,5,0
2,PHI,2,2,SHOTGUN,7.0,1.0,Outdoor,Grass,Cloudy,81.0,71.0,8.0,run,ATL,10.766666666666667,23,-3.0,1,1,1,3,1,5,3,3,5,0
